departure_city,day,avg_day_airport
Berlin,1,15.393129770992367
Berlin,2,11.864754098360656
Berlin,3,7.428015564202335
Berlin,4,10.0
Berlin,5,10.114942528735632
Berlin,6,8.616803278688524
Berlin,7,9.568669527896995
Berlin,8,7.205426356589148
Berlin,9,6.183864915572233
Berlin,10,7.928571428571429
Berlin,11,6.906474820143885
Berlin,12,8.848056537102474
Berlin,13,11.442396313364055
Berlin,14,13.683206106870228
Berlin,15,13.46938775510204
Berlin,16,10.118446601941747
Berlin,17,7.484787018255578
Berlin,24,11.029850746268657
Berlin,25,5.25
Berlin,26,12.613382899628252
Berlin,27,8.586715867158672
Berlin,28,24.446735395189002
Berlin,29,15.976958525345623
Lisbon,7,40.06060606060606
Lisbon,8,42.42814371257485
Lisbon,9,40.31974921630094
Lisbon,10,44.68402777777778
Lisbon,11,41.74924471299094
Lisbon,12,44.54012345679013
Lisbon,13,44.375
London,2,38.762269938650306
London,3,36.09826589595376
London,4,35.04052098408104
London,5,64.31449275362318
London,6,44.4580265095729
London,7,40.61119751166407
London,8,46.570762052877136
London,9,35.89720998531571
London,10,39.04633781763827
